State,Agency Type,Agency Name,Race,Religion,Sexual Orientation,Ethnicity,Disability,Gender,1st quarter,2nd quarter,3rd quarter,4th quarter,Population,ID,State Code
Texas,Cities,Houston,4,0,5,4,0,0,4,5,1,3,"2,180,606",2,TX
Kentucky,Cities,Lexington,16,1,5,4,1,0,5,10,10,2,"308,712",2,KY
New_Jersey,Cities,Howell,5,6,4,3,0,0,2,7,5,4,"51,100",0,NJ
Ohio,Cities,Huber Heights,1,1,4,0,2,0,1,3,4,0,"38,118",3,OH
Tennessee,Metropolitan Counties,Shelby,5,1,3,36,1,0,2,7,20,17,"939,465",2,TN
Wisconsin,Cities,Madison,3,1,3,5,0,0,3,5,2,2,"242,523",2,WI
Ohio,Metropolitan Counties,Butler,3,0,3,0,2,0,3,2,1,2,921,3,OH
Pennsylvania,Cities,Pittsburgh,12,0,3,0,0,0,1,3,8,3,"307,632",4,PA
Kansas,Cities,Wichita,10,0,3,1,0,0,4,4,4,2,"386,486",5,KS
California,Cities,Fresno,4,0,3,2,0,1,3,3,1,3,"508,876",5,CA
New_York,Metropolitan Counties,Nassau,10,28,2,3,0,0,9,16,9,9,"1,352,000",0,NY
New_Jersey,Cities,East Brunswick,1,10,2,1,0,0,3,4,3,4,"48,073",0,NJ
Minnesota,Cities,St. Paul,24,4,2,0,0,0,0,18,11,1,"294,690",0,MN
Maryland,Metropolitan Counties,Montgomery,6,4,2,1,0,0,3,5,2,3,"1,107,000",0,MD
Texas,Cities,Fort Worth,9,0,2,5,0,0,5,1,6,4,"789,035",2,TX
Connecticut,Cities,Stamford,1,2,2,2,1,0,2,2,1,3,"125,876",3,CT
New_Jersey,Cities,Lacey Township,3,0,2,2,1,0,1,5,1,1,"27,865",3,NJ
North_Dakota,Cities,Fargo,8,2,2,1,1,0,2,3,6,3,"111,101",3,ND
Georgia,Metropolitan Counties,Cobb County,19,3,2,3,0,0,1,12,8,6,"717,190",4,GA
New_York,Cities,Buffalo,11,1,2,2,0,1,6,3,4,4,"258,789",4,NY
Michigan,Universities and Colleges,East Lansing,2,0,2,0,0,1,1,0,2,2,"48,783",5,MI
North_Dakota,Cities,Bismarck,0,0,1,5,0,0,3,0,2,1,"65,850",2,ND
Ohio,Cities,Cincinnati,9,0,1,5,1,0,4,0,2,10,"296,491",2,OH
California,Cities,El Cerrito,0,2,1,4,0,0,3,1,2,1,"24,184",2,CA
Washington,Metropolitan Counties,Spokane,1,0,1,3,1,0,0,2,1,3,"210,721",3,WA
Washington,Cities,Omak,0,0,1,1,1,0,2,1,0,0,"4,801",3,WA
California,Cities,Westminster,1,1,1,1,1,0,1,1,1,2,"91,885",3,CA
California,Cities,Riverside,11,1,1,2,0,1,7,4,0,5,"316,423",4,CA
New_York,Cities,Yonkers,1,3,1,0,0,1,2,0,3,2,"199,134",5,NY
California,Metropolitan Counties,San Bernardino,2,0,1,2,0,1,1,0,3,2,"213,708",5,CA
New_Jersey,Cities,Lakewood,5,15,0,3,0,0,2,6,7,8,"92,664",0,NJ
